watch_id,user_id,movie_id,watch_date,watch_time_minutes,completion_percentage,liked,recommendation_score
136,2986,2762,2026-06-29,39,40.29,0,15.01
137,2717,2393,2022-07-10,110,93.71,1,75.18
138,6616,6279,2024-09-21,9,12.7,0,14.2
139,1627,1857,2024-03-26,6,4.92,0,0
140,6575,7820,2025-07-11,11,9.32,1,30.91
141,8589,9436,2023-02-01,24,15.55,0,5.71
142,1662,7477,2026-04-12,56,41.77,0,30.29
143,935,6741,2025-07-05,21,64.79,0,43.69
144,9412,4347,2026-06-01,42,47.75,0,29.84
145,3810,7123,2026-06-14,61,89.42,1,80.47
146,4657,4639,2026-04-10,19,45.18,0,18.5
147,1924,8159,2025-09-15,42,32.62,1,34.12
148,4253,1240,2020-08-01,7,18.53,1,33.69
149,8682,8991,2025-12-06,75,49.6,0,22.66
150,6540,8081,2025-02-06,33,42.19,1,51.67
151,306,2756,2023-02-17,11,6.08,0,7.57
152,3240,9297,2021-09-06,85,92.8,0,62.2
153,4413,595,2025-11-17,62,75.86,0,51.46
154,6931,5656,2023-12-26,54,38.01,0,18.25
155,321,8837,2022-02-09,6,4.26,0,4.34
156,5162,7601,2023-01-24,52,58.49,0,38.82
157,4293,5202,2025-03-17,6,19.23,1,33.49
158,2770,9325,2024-07-25,124,82.97,0,47.55
159,8566,3689,2026-06-07,1,3.49,0,5.98
160,1429,8590,2026-01-04,55,38.69,0,18.23
161,7959,5574,2022-09-27,57,53.77,1,45.4
162,7816,6472,2025-10-26,27,17.27,1,39.96
163,1176,2357,2022-09-04,8,26.8,1,44.32
164,9430,3665,2026-02-26,66,92.26,1,72.68
165,7914,5142,2019-12-26,46,86.63,1,67.63
166,4587,4895,2026-05-27,29,39.19,0,25.52
167,5585,9010,2022-12-14,77,87.78,1,67.84
168,8882,9466,2026-05-08,72,41.33,1,37.9
169,147,9925,2023-04-10,79,57.84,1,58.16
170,7428,8602,2025-06-08,127,83.32,1,73.69
171,3733,2423,2026-02-23,133,87.4,1,69.27
172,1952,9152,2024-05-22,38,43.2,1,38.41
173,294,4291,2026-04-01,21,31.21,1,35.41
174,5643,7262,2022-04-23,129,98.32,1,85.4
175,3643,8390,2025-11-03,80,97.53,1,78.32
176,9988,1302,2025-01-08,20,17.98,0,16.94
177,9280,4785,2026-03-19,128,90.69,1,70.72
178,3247,6200,2023-10-22,44,57.54,1,60.33
179,6124,4904,2025-04-30,138,79.86,1,61.39
180,3,6362,2026-03-05,28,45.22,0,31.61
181,510,3391,2022-11-21,91,69.81,1,64.17
182,6512,2601,2026-04-01,28,21.16,1,24.27
183,8037,6662,2026-02-17,6,4.47,0,10.7
184,3243,2258,2025-08-23,13,65.39,0,40.55
185,5651,2111,2024-07-21,57,31.74,0,24.24
186,8426,1572,2025-09-21,21,18.53,0,2.47
187,9692,4255,2025-10-05,76,56.34,1,62.62
188,671,7112,2022-11-09,52,97.98,1,78.45
189,7521,1276,2024-05-02,102,65.04,1,63.27
190,8712,1479,2025-05-14,85,86.08,1,66.92
191,6956,1571,2024-07-28,1,1.88,0,10.43
192,271,2335,2026-02-06,16,31.93,0,11.22
193,5747,984,2026-02-21,10,15.14,1,37.38
194,9834,7311,2025-07-30,17,12.81,0,0.88
195,596,5913,2020-09-17,40,44.02,0,29.31
196,1175,3517,2024-07-27,35,23.81,0,10.77
197,7932,4654,2025-10-28,56,84.64,1,76.12
198,7049,9951,2024-12-10,3,3.3,0,0
199,6386,6301,2025-10-28,27,44.35,0,32.51
200,3823,1411,2026-06-04,62,45.6,1,48.66
201,4936,1947,2025-10-03,10,21.17,1,22.77
202,5536,684,2026-06-13,122,76,0,46.19
203,8321,2045,2024-02-21,54,30.72,0,8.51
204,7469,2158,2025-06-06,3,3.79,0,9.69
205,3214,7253,2023-07-10,16,28.24,0,9.74
206,4895,6092,2025-11-09,85,56.9,1,44.73
207,9137,2005,2026-04-19,42,25.26,0,14.09
208,5883,2665,2024-01-06,68,46.15,0,33.25
209,8047,2938,2025-03-17,63,37.59,1,45.2
210,8677,2115,2021-10-17,44,66.23,1,55.13
211,5429,9854,2026-03-30,42,74.18,0,50.61
212,8846,4537,2025-12-15,103,67.04,1,50.77
213,6786,7654,2026-01-16,17,11,0,16.14
214,5304,577,2024-09-11,42,45.87,1,39.12
215,3890,457,2022-03-12,5,13.56,1,32.46
216,7471,9628,2025-09-12,112,91.74,0,53.14
217,7070,2562,2021-01-22,156,87.53,1,66.51
218,9681,1488,2025-01-09,28,25.67,1,39.69
219,546,1177,2026-03-08,27,23.09,0,22.69
220,4002,5322,2025-01-26,36,68.36,1,52.41
221,7116,3814,2024-09-09,25,54.73,1,52.67
222,7342,1475,2025-06-03,19,60.44,0,26.28
223,2798,1894,2026-01-08,35,60.69,0,41.11
224,4883,4963,2026-02-17,105,74.76,1,73.25
225,100,9519,2026-04-15,51,28.92,0,18.55
226,9962,9363,2024-02-28,98,92.55,1,74.99
227,9249,9060,2024-07-31,49,86.81,1,68.79
228,1400,5491,2025-08-11,16,16.59,0,10.85
229,1461,9166,2024-07-25,62,77.36,1,66.31
230,6126,9637,2020-08-23,13,18.94,0,1.81
231,6394,3053,2019-12-19,137,97.65,1,77.15
232,9398,6795,2021-10-04,24,46.57,1,44.03
233,6513,3624,2023-01-27,43,93.85,1,82.43
234,3003,883,2020-07-24,35,19.96,0,3.39
235,4130,4396,2025-09-28,78,70.43,1,61.6
236,2705,9112,2021-03-31,19,29.21,0,8.72
237,2263,7714,2025-11-28,9,6.93,0,0
238,1633,4675,2022-06-01,110,74.66,0,36.85
239,7785,2569,2024-05-22,149,83.74,0,51.54
240,3183,5367,2025-04-22,95,80.92,0,57.8
241,387,955,2025-05-22,12,50.77,1,49.21
242,7583,9006,2026-02-02,31,17.7,1,29.52
243,8624,7670,2026-05-17,84,75.61,1,64.67
244,2033,2385,2026-02-08,171,95.21,1,80.71
245,1806,856,2026-04-30,10,23.03,0,10.8
246,991,9099,2023-08-30,90,77.27,0,55.19
247,1333,2062,2022-01-21,93,85.9,0,44.97
248,2965,5272,2024-11-06,35,58.45,0,41.36
249,841,9947,2024-03-01,1,2.7,0,3.71
250,1999,6947,2026-05-14,73,86.91,1,67.49
251,506,3582,2025-04-23,66,99.58,1,89.56
252,3100,7280,2026-02-20,30,36.7,0,20.97
253,6256,6120,2022-01-21,101,56.69,0,31.1
254,1557,5862,2025-11-16,81,48.13,1,47.91
255,2124,3624,2025-03-22,124,72.29,1,59.68
256,1077,7437,2026-01-25,50,65.43,0,47.62
257,3283,3785,2024-12-26,28,74.61,1,67.3
258,1156,443,2026-01-02,117,86.86,1,74.87
259,6906,6383,2022-06-01,106,87.69,1,81.49
260,3717,9086,2024-07-07,12,11.06,0,4.84
261,4500,9672,2026-01-22,12,20.88,0,4.74
262,1837,9441,2025-12-12,59,91.84,1,76.33
263,1180,498,2025-07-02,92,57.09,0,38.48
264,2591,7886,2025-02-12,161,96.22,1,86.03
265,8625,5438,2024-04-22,67,43.62,0,27.68
266,8814,199,2022-11-23,117,66.28,0,48.61
267,54,7763,2026-05-13,4,6.98,0,0
268,7430,9238,2023-08-16,47,44.05,1,37.5
269,5228,8502,2026-05-21,11,16.98,0,14.73
270,8554,7330,2024-12-28,118,79.8,1,60.09
271,173,4558,2024-11-23,59,34.37,1,48.68
272,5532,2747,2023-05-26,170,99.55,1,83.63
273,1432,8813,2025-05-13,92,52.06,1,55.37
274,2771,2463,2026-03-18,39,57.53,1,46.47
275,7301,5304,2023-12-11,24,68.51,0,50.33
276,5075,6661,2025-04-26,53,59.06,1,56.36
277,4711,7832,2023-11-02,135,83.06,1,62.69
278,5005,3034,2022-04-29,7,7.37,0,11.94
279,1177,7464,2025-05-05,144,93.27,1,84.59
280,8301,3569,2022-04-13,9,7.9,1,20.85
281,6623,6725,2023-09-15,44,25.32,1,29.66
282,3401,6984,2026-06-02,28,43.05,0,26.21
283,5905,1377,2025-10-08,37,58.25,0,41.97
284,4402,367,2024-03-29,41,39.89,0,27.84
285,5274,2311,2026-04-04,122,88.88,1,67.84
286,7389,4412,2026-04-04,25,23.84,1,33.74
287,6395,1382,2026-04-24,47,97.14,1,83.61
288,8323,7431,2025-02-08,41,90.28,1,69.68
289,9648,8604,2021-07-13,27,65.19,0,36.18
290,9699,5368,2025-09-30,22,70.51,1,57.76
291,1211,1165,2025-12-07,22,29.88,0,24.31
292,8849,759,2026-06-09,143,83,1,67.63
293,4675,4465,2021-03-31,28,19.78,0,6.34
294,2106,4520,2026-01-10,45,89.27,1,70.86
295,4489,2729,2026-04-08,15,11.5,0,16.16
296,3055,1202,2025-08-16,38,27.3,0,15.06
297,9545,1488,2024-05-13,43,41.69,1,52.11
298,7281,9110,2024-07-26,11,37.88,0,14.87
299,3579,1819,2025-01-01,15,48.8,1,52.16
300,3857,4465,2026-06-30,18,16.69,0,18.06
301,4496,9827,2020-10-06,44,27.18,0,9.49
302,9449,7368,2025-01-27,6,12.67,0,2.84
303,1511,442,2025-09-12,6,20.16,0,2.52
304,9199,9457,2024-09-12,57,95.58,1,72.58
305,1347,4112,2024-04-22,124,93.08,0,48.38
306,3020,1652,2026-04-30,5,3.61,0,8.26
307,3726,4171,2024-02-29,32,81.79,0,57.38
308,8017,9499,2026-06-23,5,2.56,0,9.63
309,6310,3878,2024-04-20,87,75.46,1,71.09
310,9048,9718,2026-02-16,26,43.24,0,23.82
311,8122,7081,2026-02-20,62,98.31,1,79.48
312,2444,1616,2023-04-06,39,56.71,0,38.88
313,8633,2786,2024-11-15,93,55.8,0,26.51
314,1332,8819,2026-01-17,51,65.93,1,59.77
315,3427,4753,2026-05-06,85,51.54,0,22.44
316,4037,689,2025-07-18,96,75.86,1,66.23
317,9056,6158,2021-02-25,53,46.76,1,50.51
318,9069,5906,2021-03-12,119,81.44,1,65.83
319,4081,1660,2023-07-26,33,23.93,1,39.5
320,1870,5991,2023-02-06,105,88.3,1,72.27
321,3075,3860,2021-06-22,120,82.77,1,64.05
322,8088,2881,2022-07-17,28,39.6,1,38.67
323,6631,7203,2026-04-14,147,92.31,0,60.15
324,5825,189,2023-09-10,44,24.52,0,18.88
325,1310,706,2026-05-24,148,96.5,0,57.55
326,2163,6545,2025-11-28,118,75.33,0,35.48
327,1166,7608,2024-04-19,9,39,0,20.15
328,6027,6640,2024-08-21,32,54.95,1,48.47
329,7241,5866,2024-12-13,33,76.59,1,71.53
330,8011,7994,2024-05-06,58,56.79,1,51.24
331,2182,2339,2026-04-28,146,94.04,1,76.11
332,5027,8082,2025-05-07,16,62.65,1,61
333,9690,9710,2024-07-30,96,73.55,1,65.92
334,8271,7089,2025-09-19,112,75.72,1,61.08
335,8175,1452,2026-06-19,41,80.46,1,76.65
336,9652,8845,2024-04-16,81,70.34,1,58.97
337,7687,8835,2023-12-10,95,97.51,1,78.37
338,2952,5217,2022-01-19,13,43.68,1,46.84
339,3344,1653,2026-06-17,125,77.34,1,72.41
340,8625,6089,2025-08-10,15,45.74,0,31.67
341,2510,2108,2024-01-23,27,55.27,0,40.19
342,5228,4451,2021-05-20,24,88.65,0,46
343,4057,9570,2024-05-23,46,80.83,1,72.96
344,9292,7694,2021-11-19,12,14.06,0,4.49
345,5655,1318,2022-05-04,117,89.94,1,69.54
346,8195,718,2023-04-20,41,34.95,0,25.16
347,1557,2341,2025-10-19,106,75.64,0,48.6
348,6364,3592,2026-03-12,17,12.94,0,1.43
349,4820,2369,2026-06-15,4,11.76,0,10.15
350,1945,6112,2020-08-01,33,44.51,0,31.39
351,468,6973,2024-02-15,58,92.83,0,62.5
352,7477,8771,2023-06-18,44,34.88,1,42.27
353,5767,1904,2023-12-20,92,83.64,1,75.32
354,6103,3247,2025-01-04,34,83.8,1,63.85
355,6651,2162,2023-04-09,92,78.33,1,73.54
356,6252,8385,2023-01-23,34,39.11,0,20.27
357,2217,926,2025-06-22,11,7.81,0,11.96
358,9060,8693,2024-08-15,22,60.84,1,53.73
359,3467,9690,2025-06-02,94,53.74,0,23.39
360,2298,353,2026-02-25,51,68.42,1,52.04
361,123,6005,2026-06-05,18,60.4,1,57.16
362,7568,7765,2022-05-07,9,42.03,1,46.38
363,4769,3680,2025-08-29,10,23.84,0,15.52
364,5794,2577,2024-12-16,112,64.61,1,59.29
365,320,5181,2026-04-16,3,2.16,0,5.12
366,9324,841,2022-07-01,111,69.92,1,61.11
367,3563,4547,2025-11-15,30,20.81,1,39.61
368,291,3940,2023-11-24,17,66.79,0,34.1
369,2174,6685,2026-03-31,116,83.42,0,55.08
370,1381,7889,2025-05-28,1,3.07,0,9.82
371,9729,4440,2025-02-24,13,7.76,0,0
372,7119,9918,2025-04-29,49,39.46,0,23.13
373,7521,6388,2023-09-10,90,51.75,0,37.57
374,2528,6838,2025-07-09,5,4.3,0,0
375,4677,4410,2025-06-28,9,31.22,0,20.11
376,9562,2824,2023-05-08,147,86.75,1,67.93
377,7713,5325,2025-12-20,11,6.65,0,8.96
378,2294,1434,2022-08-04,91,69.41,1,64.73
379,3742,8124,2025-11-26,46,60.15,0,43.69
380,1778,2552,2025-07-28,7,5.59,0,1.45
381,764,4648,2025-07-20,60,71.38,1,66.02
382,9063,201,2023-11-12,11,40.8,0,18.7
383,7501,7774,2022-03-18,30,25.89,0,5.88
384,7527,8872,2026-06-16,30,25.5,1,34.33
385,9048,7574,2026-05-14,76,99.27,1,75.9
386,8124,4686,2025-12-03,38,25.89,1,42.87
387,5679,9036,2026-03-06,29,25.3,1,28.43
388,8346,6346,2026-05-17,5,20.97,0,10.5
389,6756,6402,2026-03-24,113,63.49,1,57.78
390,1657,5421,2022-09-26,12,6.58,0,11.46
391,5273,6615,2025-09-01,61,36.33,1,44.2
392,557,1010,2026-05-17,44,59.25,1,58.49
393,8338,5604,2025-08-12,51,50.98,1,45.48
394,5991,4093,2026-04-19,1,3.19,0,7.51
395,7582,5543,2023-09-01,17,15.57,0,9.27
396,9927,780,2026-06-11,3,2.1,0,0.57
397,4170,7184,2023-12-14,63,83.34,1,64.94
398,3116,1460,2026-06-16,64,93.92,1,73.26
399,3989,7659,2026-03-05,32,21,1,36.92
400,674,9953,2025-09-25,91,71.29,0,39.15
401,7420,4548,2026-02-19,22,16.78,0,13.41
402,9830,7098,2025-08-22,61,43.02,1,41.25
403,3734,7544,2025-05-23,73,43.22,0,21.81
404,5221,204,2026-02-11,18,82.52,1,72.44
405,8185,3666,2025-12-31,38,41.72,1,48.85
406,7819,5558,2025-12-12,41,23.71,0,5.73
407,7587,1637,2025-10-28,117,77.14,0,52.23
408,8365,8805,2024-01-31,124,96.26,1,68.18
409,1822,3545,2026-03-13,17,68.77,0,43.25
410,6241,2673,2026-01-24,64,97.59,1,82.29
411,5741,1525,2025-08-18,80,57.44,1,63.17
412,4755,2369,2024-12-16,6,29.92,0,24.06
413,4739,1706,2024-08-23,60,93.03,1,74.69
414,3779,8694,2026-06-20,111,64.06,1,59.82
415,5415,7282,2021-02-20,8,15.49,0,4.18
416,4741,3966,2022-05-06,6,16.14,0,12.12
417,4157,9929,2025-09-20,6,4.32,0,5.95
418,9104,3967,2025-12-26,9,21.34,0,5.93
419,7493,5421,2024-08-26,25,41.74,0,19.32
420,6412,896,2026-01-16,17,19.17,1,30.68
421,6275,8023,2026-01-01,6,25.83,0,6.19
422,6056,7789,2021-06-23,7,4.08,0,0
423,9209,4628,2025-07-31,20,38.16,0,12.94
424,811,2161,2024-09-13,8,38.37,0,22.34
425,1428,8400,2026-06-14,71,94.77,1,77.06
426,4846,5138,2024-06-11,11,14.61,0,12.9
427,661,2606,2026-03-20,13,58.61,0,40.57
428,5177,4709,2023-05-01,18,20.72,1,24.11
429,915,1721,2024-08-11,100,86.33,1,78.54
430,5994,9996,2025-08-04,51,46.01,1,52.07
431,2350,9131,2023-03-25,96,73.06,0,38.52
432,2391,7483,2026-06-29,11,16.05,0,8.93
433,403,8193,2026-05-06,40,72.31,1,66.28
434,607,3600,2026-06-30,38,43.17,0,31.14
435,9596,6126,2026-01-24,24,18.07,0,8.46
436,9603,9059,2024-07-07,26,54.54,0,26.29
437,3877,3533,2022-01-05,2,2.25,0,0
438,8685,8577,2026-03-21,36,27.73,0,21.58
439,9874,4208,2024-05-21,33,71.45,0,37.01
440,5842,2245,2025-02-03,46,46.09,1,41.49
441,9442,9556,2026-06-08,25,39.35,1,36.11
442,2774,5277,2021-12-27,37,29.12,0,25.88
443,6552,6312,2021-06-17,90,60.85,0,46.36
444,3348,7747,2023-02-22,21,36.06,1,48.7
445,1464,7641,2025-01-07,42,24.66,1,25.05
446,5143,9099,2021-12-17,19,75.79,1,59.69
447,1636,4626,2026-01-14,104,64.68,0,32.45
448,696,15,2026-01-07,26,14.94,0,8.62
449,2922,9108,2021-12-03,5,7.45,1,21.93
450,2018,2100,2025-07-27,15,15.81,1,29.04
451,1758,5103,2023-03-09,115,72.94,0,40.3
452,5629,916,2024-07-22,5,16.35,0,17.19
453,1297,8688,2026-04-04,36,29.31,0,18.03
454,4682,7967,2024-07-03,110,92.2,1,77.82
455,647,6180,2025-05-22,150,92,1,79.88
456,8713,6599,2024-02-22,13,14.84,0,11.7
457,8290,5579,2022-08-24,23,72.05,1,70.89
458,917,9461,2022-01-07,7,9.64,0,0
459,4974,2007,2024-06-20,46,26.37,0,16.45
460,1048,2023,2026-04-01,36,29.76,0,26.12
461,9894,6023,2026-06-23,39,25.61,0,23.56
462,8758,5421,2022-10-11,6,11.41,0,3.56
463,7364,1624,2023-09-22,32,22.17,1,34.4
464,9035,4182,2025-03-06,17,50.12,1,56.46
465,5727,9071,2026-04-16,147,91.61,1,83.52
466,920,4329,2026-06-11,127,93.96,0,55.16
467,7149,9562,2023-03-29,126,73.12,1,57.63
468,3838,3590,2025-11-15,145,88.77,1,78.38
469,8656,5723,2023-05-07,2,3.46,0,8.8
470,1523,7080,2024-06-12,16,62.24,1,55.72
471,8919,5809,2025-07-25,64,47.71,0,26.85
472,1842,1815,2025-10-01,24,94.09,1,81.86
473,1747,726,2024-02-29,102,64.87,1,50.07
474,7350,3540,2021-06-01,3,2.23,1,13.7
475,1795,6139,2026-04-20,57,60.52,0,45.16
476,4501,628,2022-11-23,10,52.03,1,45.99
477,2721,4685,2024-06-27,61,36.72,1,38.36
478,8857,3820,2026-05-21,37,44.22,1,40.64
479,8176,3648,2025-05-10,63,49.79,0,34.57
480,3631,9516,2020-02-15,76,98.29,1,87.63
481,1497,771,2026-05-31,106,96.44,1,71.34
482,2516,3040,2023-07-25,76,88.06,0,44.72
483,6785,329,2021-05-22,34,67.11,1,66.16
484,6630,2268,2026-05-29,89,93.51,1,68.59
485,3900,828,2025-11-20,98,95.97,1,80.29
486,1742,9190,2025-11-11,11,24.71,0,17.22
487,9871,7853,2023-09-22,96,99.19,1,81.92
488,9625,5308,2026-01-18,32,30.96,0,22.56
489,6843,4438,2020-12-11,170,98.66,1,77.39
490,9328,5568,2026-03-28,6,8.03,0,2.5
491,7668,807,2026-06-29,49,59.96,1,61.22
492,5169,425,2026-06-12,14,32.19,0,13.22
493,4725,5992,2025-08-16,14,8.21,0,11.37
494,2194,2820,2024-06-08,68,93.68,1,80.76
495,2208,797,2025-03-26,130,79.05,1,63.67
496,3897,9247,2021-07-27,25,84.14,1,63.57
497,7023,1263,2024-08-27,108,82.86,1,71.03
498,3240,8313,2023-10-19,16,64.55,1,64.96
499,5027,5527,2026-05-02,6,17.25,1,34.63
500,7718,5165,2025-02-04,42,25.27,0,12.21
501,5278,2031,2025-07-31,19,29.12,1,31.32
502,8129,6250,2026-03-19,140,97.67,1,86.51
503,6736,4238,2026-01-25,36,39.21,1,38.94
504,8569,5286,2025-05-15,18,65.85,0,38.02
505,9899,2443,2023-11-24,115,83.9,1,65.16
506,7311,6703,2021-08-20,25,74.34,1,67.08
507,1600,4861,2025-01-07,36,27.7,0,18.47
508,9787,8537,2022-03-02,78,72.97,1,65.2
509,8675,239,2021-07-08,42,97.72,1,86.52
510,221,773,2025-02-08,2,3.48,0,11.41
511,2203,3591,2026-05-08,47,40.31,0,31.48
512,7924,9646,2026-06-13,5,14.24,0,1.18
513,8183,1883,2021-12-07,15,25.51,0,11.98
514,6915,6879,2024-11-02,82,79.5,1,73.58
515,2861,2160,2025-10-19,18,38.1,0,23.67
516,6697,6829,2025-10-11,24,96.47,1,76.41
517,2255,6106,2025-09-22,57,64.29,0,44.32
518,7863,8832,2025-12-12,69,50.53,1,51.62
519,8926,4400,2022-11-03,39,93.96,1,81.74
520,7577,332,2025-01-25,27,41.81,1,43.22
